"ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME",
"CLT","Charlotte, NC","MDW","Chicago, IL",
"CLT","Charlotte, NC","AFW","Dallas/Fort Worth, TX",
"CLT","Charlotte, NC","DTW","Detroit, MI",
"CLT","Charlotte, NC","MIA","Miami, FL",
"CLT","Charlotte, NC","ORD","Chicago, IL",
"CLT","Charlotte, NC","IAH","Houston, TX",
"CLT","Charlotte, NC","JAX","Jacksonville, FL",
"CLT","Charlotte, NC","SYR","Syracuse, NY",
"CLT","Charlotte, NC","MSP","Minneapolis, MN",
"CLT","Charlotte, NC","MYR","Myrtle Beach, SC",
"CLT","Charlotte, NC","ORF","Norfolk, VA",
"CLT","Charlotte, NC","JAC","Jackson, WY",
"CLT","Charlotte, NC","PVD","Providence, RI",
"CLT","Charlotte, NC","MSY","New Orleans, LA",
"CLT","Charlotte, NC","DFW","Dallas/Fort Worth, TX",
"CLT","Charlotte, NC","BNA","Nashville, TN",
"CLT","Charlotte, NC","LGA","New York, NY",
"CLT","Charlotte, NC","BOS","Boston, MA",
"CLT","Charlotte, NC","AUS","Austin, TX",
"CLT","Charlotte, NC","SRQ","Sarasota/Bradenton, FL",
"CLT","Charlotte, NC","STT","Charlotte Amalie, VI",
"CLT","Charlotte, NC","DCA","Washington, DC",
"CLT","Charlotte, NC","PBI","West Palm Beach/Palm Beach, FL",
"CLT","Charlotte, NC","GRR","Grand Rapids, MI",
"CLT","Charlotte, NC","PWM","Portland, ME",
"CLT","Charlotte, NC","DTW","Detroit, MI",
"CLT","Charlotte, NC","MIA","Miami, FL",
"CLT","Charlotte, NC","ORD","Chicago, IL",
"CLT","Charlotte, NC","IAH","Houston, TX",
"CLT","Charlotte, NC","EWR","Newark, NJ",
"CLT","Charlotte, NC","SMF","Sacramento, CA",
"CLT","Charlotte, NC","TPA","Tampa, FL",
"CLT","Charlotte, NC","DEN","Denver, CO",
"CLT","Charlotte, NC","SLC","Salt Lake City, UT",
"CLT","Charlotte, NC","LAS","Las Vegas, NV",
"CLT","Charlotte, NC","SAN","San Diego, CA",
"CLT","Charlotte, NC","JAX","Jacksonville, FL",
"CLT","Charlotte, NC","BWI","Baltimore, MD",
"CLT","Charlotte, NC","MSP","Minneapolis, MN",
"CLT","Charlotte, NC","SEA","Seattle, WA",
"CLT","Charlotte, NC","PDX","Portland, OR",
"CLT","Charlotte, NC","ORF","Norfolk, VA",
"CLT","Charlotte, NC","MEM","Memphis, TN",
"CLT","Charlotte, NC","RDU","Raleigh/Durham, NC",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","PVD","Providence, RI",
"CLT","Charlotte, NC","MSY","New Orleans, LA",
"CLT","Charlotte, NC","PIT","Pittsburgh, PA",
"CLT","Charlotte, NC","DFW","Dallas/Fort Worth, TX",
"CLT","Charlotte, NC","BDL","Hartford, CT",
"CLT","Charlotte, NC","BNA","Nashville, TN",
"CLT","Charlotte, NC","LGA","New York, NY",
"CLT","Charlotte, NC","ATL","Atlanta, GA",
"CLT","Charlotte, NC","LAX","Los Angeles, CA",
"CLT","Charlotte, NC","FLL","Fort Lauderdale, FL",
"CLT","Charlotte, NC","BOS","Boston, MA",
"CLT","Charlotte, NC","PHX","Phoenix, AZ",
"CLT","Charlotte, NC","SJU","San Juan, PR",
"CLT","Charlotte, NC","SFO","San Francisco, CA",
"CLT","Charlotte, NC","SRQ","Sarasota/Bradenton, FL",
"CLT","Charlotte, NC","STX","Christiansted, VI",
"CLT","Charlotte, NC","DCA","Washington, DC",
"CLT","Charlotte, NC","JFK","New York, NY",
"CLT","Charlotte, NC","RSW","Fort Myers, FL",
"CLT","Charlotte, NC","MCO","Orlando, FL",
"CLT","Charlotte, NC","CHS","Charleston, SC",
"CLT","Charlotte, NC","PBI","West Palm Beach/Palm Beach, FL",
"CLT","Charlotte, NC","RIC","Richmond, VA",
"CLT","Charlotte, NC","PWM","Portland, ME",
"CLT","Charlotte, NC","LIT","Little Rock, AR",
"CLT","Charlotte, NC","DTW","Detroit, MI",
"CLT","Charlotte, NC","BUF","Buffalo, NY",
"CLT","Charlotte, NC","ORD","Chicago, IL",
"CLT","Charlotte, NC","SAT","San Antonio, TX",
"CLT","Charlotte, NC","IAH","Houston, TX",
"CLT","Charlotte, NC","CMH","Columbus, OH",
"CLT","Charlotte, NC","TPA","Tampa, FL",
"CLT","Charlotte, NC","SLC","Salt Lake City, UT",
"CLT","Charlotte, NC","JAX","Jacksonville, FL",
"CLT","Charlotte, NC","BWI","Baltimore, MD",
"CLT","Charlotte, NC","MSP","Minneapolis, MN",
"CLT","Charlotte, NC","ORF","Norfolk, VA",
"CLT","Charlotte, NC","RDU","Raleigh/Durham, NC",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","PVD","Providence, RI",
"CLT","Charlotte, NC","MSY","New Orleans, LA",
"CLT","Charlotte, NC","PIT","Pittsburgh, PA",
"CLT","Charlotte, NC","BDL","Hartford, CT",
"CLT","Charlotte, NC","BNA","Nashville, TN",
"CLT","Charlotte, NC","LGA","New York, NY",
"CLT","Charlotte, NC","FLL","Fort Lauderdale, FL",
"CLT","Charlotte, NC","BOS","Boston, MA",
"CLT","Charlotte, NC","PHX","Phoenix, AZ",
"CLT","Charlotte, NC","AUS","Austin, TX",
"CLT","Charlotte, NC","STT","Charlotte Amalie, VI",
"CLT","Charlotte, NC","DCA","Washington, DC",
"CLT","Charlotte, NC","RSW","Fort Myers, FL",
"CLT","Charlotte, NC","PBI","West Palm Beach/Palm Beach, FL",
"CLT","Charlotte, NC","RIC","Richmond, VA",
"CLT","Charlotte, NC","PWM","Portland, ME",
"CLT","Charlotte, NC","JFK","New York, NY",
"CLT","Charlotte, NC","MIA","Miami, FL",
"CLT","Charlotte, NC","LAX","Los Angeles, CA",
"CLT","Charlotte, NC","PHX","Phoenix, AZ",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","CLE","Cleveland, OH",
"CLT","Charlotte, NC","DTW","Detroit, MI",
"CLT","Charlotte, NC","ALB","Albany, NY",
"CLT","Charlotte, NC","BUF","Buffalo, NY",
"CLT","Charlotte, NC","MIA","Miami, FL",
"CLT","Charlotte, NC","ORD","Chicago, IL",
"CLT","Charlotte, NC","STL","St. Louis, MO",
"CLT","Charlotte, NC","CMH","Columbus, OH",
"CLT","Charlotte, NC","GSO","Greensboro/High Point, NC",
"CLT","Charlotte, NC","EYW","Key West, FL",
"CLT","Charlotte, NC","AVL","Asheville, NC",
"CLT","Charlotte, NC","BWI","Baltimore, MD",
"CLT","Charlotte, NC","MSP","Minneapolis, MN",
"CLT","Charlotte, NC","ATW","Appleton, WI",
"CLT","Charlotte, NC","MEM","Memphis, TN",
"CLT","Charlotte, NC","IND","Indianapolis, IN",
"CLT","Charlotte, NC","BHM","Birmingham, AL",
"CLT","Charlotte, NC","RDU","Raleigh/Durham, NC",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","PVD","Providence, RI",
"CLT","Charlotte, NC","MSY","New Orleans, LA",
"CLT","Charlotte, NC","PIT","Pittsburgh, PA",
"CLT","Charlotte, NC","IAD","Washington, DC",
"CLT","Charlotte, NC","BDL","Hartford, CT",
"CLT","Charlotte, NC","BNA","Nashville, TN",
"CLT","Charlotte, NC","LGA","New York, NY",
"CLT","Charlotte, NC","ATL","Atlanta, GA",
"CLT","Charlotte, NC","MCI","Kansas City, MO",
"CLT","Charlotte, NC","SDF","Louisville, KY",
"CLT","Charlotte, NC","HHH","Hilton Head, SC",
"CLT","Charlotte, NC","BGR","Bangor, ME",
"CLT","Charlotte, NC","CHS","Charleston, SC",
"CLT","Charlotte, NC","RIC","Richmond, VA",
"CLT","Charlotte, NC","DSM","Des Moines, IA",
"CLT","Charlotte, NC","GRR","Grand Rapids, MI",
"CLT","Charlotte, NC","OKC","Oklahoma City, OK",
"CLT","Charlotte, NC","PWM","Portland, ME",
"CLT","Charlotte, NC","SAV","Savannah, GA",
"CLT","Charlotte, NC","ORD","Chicago, IL",
"CLT","Charlotte, NC","EWR","Newark, NJ",
"CLT","Charlotte, NC","IAD","Washington, DC",
"CLT","Charlotte, NC","FLL","Fort Lauderdale, FL",
"CLT","Charlotte, NC","FLL","Fort Lauderdale, FL",
"CLT","Charlotte, NC","MCO","Orlando, FL",
"CLT","Charlotte, NC","FLL","Fort Lauderdale, FL",
"CLT","Charlotte, NC","MCO","Orlando, FL",
"CLT","Charlotte, NC","DEN","Denver, CO",
"CLT","Charlotte, NC","MCO","Orlando, FL",
"CLT","Charlotte, NC","DEN","Denver, CO",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","MCO","Orlando, FL",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","MCO","Orlando, FL",
"CLT","Charlotte, NC","IAH","Houston, TX",
"CLT","Charlotte, NC","EWR","Newark, NJ",
"CLT","Charlotte, NC","EWR","Newark, NJ",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","ATL","Atlanta, GA",
"CLT","Charlotte, NC","SDF","Louisville, KY",
"CLT","Charlotte, NC","BUF","Buffalo, NY",
"CLT","Charlotte, NC","CHA","Chattanooga, TN",
"CLT","Charlotte, NC","CMI","Champaign/Urbana, IL",
"CLT","Charlotte, NC","MOB","Mobile, AL",
"CLT","Charlotte, NC","GSO","Greensboro/High Point, NC",
"CLT","Charlotte, NC","DAY","Dayton, OH",
"CLT","Charlotte, NC","TOL","Toledo, OH",
"CLT","Charlotte, NC","MDT","Harrisburg, PA",
"CLT","Charlotte, NC","CAK","Akron, OH",
"CLT","Charlotte, NC","LYH","Lynchburg, VA",
"CLT","Charlotte, NC","TRI","Bristol/Johnson City/Kingsport, TN",
"CLT","Charlotte, NC","CHO","Charlottesville, VA",
"CLT","Charlotte, NC","PHF","Newport News/Williamsburg, VA",
"CLT","Charlotte, NC","AGS","Augusta, GA",
"CLT","Charlotte, NC","PGV","Greenville, NC",
"CLT","Charlotte, NC","BHM","Birmingham, AL",
"CLT","Charlotte, NC","ROA","Roanoke, VA",
"CLT","Charlotte, NC","PHL","Philadelphia, PA",
"CLT","Charlotte, NC","LEX","Lexington, KY",
"CLT","Charlotte, NC","BDL","Hartford, CT",
"CLT","Charlotte, NC","ITH","Ithaca/Cortland, NY",
"CLT","Charlotte, NC","HTS","Ashland, WV",
"CLT","Charlotte, NC","FLO","Florence, SC",
"CLT","Charlotte, NC","MGM","Montgomery, AL",
"CLT","Charlotte, NC","CAE","Columbia, SC",
"CLT","Charlotte, NC","EVV","Evansville, IN",
"CLT","Charlotte, NC","SDF","Louisville, KY",
"CLT","Charlotte, NC","RIC","Richmond, VA",
"CLT","Charlotte, NC","SBY","Salisbury, MD",
"CLT","Charlotte, NC","PKB","Parkersburg, WV",
"CLT","Charlotte, NC","BKW","Beckley, WV",
"CLT","Charlotte, NC","MQY","Smyrna, TN",
"CLT","Charlotte, NC","OPF","Miami, FL",
"CLT","Charlotte, NC","CMH","Columbus, OH",
"CLT","Charlotte, NC","BNA","Nashville, TN",
"CLT","Charlotte, NC","SWF","Newburgh/Poughkeepsie, NY",
"CLT","Charlotte, NC","CPS","St. Louis, MO",
"CLT","Charlotte, NC","IAD","Washington, DC",
"CLT","Charlotte, NC","CAE","Columbia, SC",
"CLT","Charlotte, NC","RNO","Reno, NV",
"CLT","Charlotte, NC","MSY","New Orleans, LA",
"CLT","Charlotte, NC","UTM","Tunica, MS",
"CLT","Charlotte, NC","BOS","Boston, MA",
"CLT","Charlotte, NC","MEM","Memphis, TN",
"CLT","Charlotte, NC","IND","Indianapolis, IN",
"CLT","Charlotte, NC","LGA","New York, NY",
"CLT","Charlotte, NC","LGA","New York, NY",
"CLT","Charlotte, NC","ORD","Chicago, IL",
"CLT","Charlotte, NC","EWR","Newark, NJ",
"CMH","Columbus, OH","IAD","Washington, DC",
"CMH","Columbus, OH","BMG","Bloomington, IN",
"CMH","Columbus, OH","CID","Cedar Rapids/Iowa City, IA",
"CMH","Columbus, OH","DFW","Dallas/Fort Worth, TX",
"CMH","Columbus, OH","PHX","Phoenix, AZ",
"CMH","Columbus, OH","ORD","Chicago, IL",
"CMH","Columbus, OH","DFW","Dallas/Fort Worth, TX",
"CMH","Columbus, OH","CLT","Charlotte, NC",
"CMH","Columbus, OH","CLT","Charlotte, NC",
"CMH","Columbus, OH","PHL","Philadelphia, PA",
"CMH","Columbus, OH","DEN","Denver, CO",
"CMH","Columbus, OH","LAS","Las Vegas, NV",
"CMH","Columbus, OH","BWI","Baltimore, MD",
"CMH","Columbus, OH","ATL","Atlanta, GA",
"CMH","Columbus, OH","MDW","Chicago, IL",
"CMH","Columbus, OH","RSW","Fort Myers, FL",
"CMH","Columbus, OH","MCO","Orlando, FL",
"CMH","Columbus, OH","TPA","Tampa, FL",
"CMH","Columbus, OH","DEN","Denver, CO",
"CMH","Columbus, OH","BWI","Baltimore, MD",
"CMH","Columbus, OH","IND","Indianapolis, IN",
"CMH","Columbus, OH","DAL","Dallas, TX",
"CMH","Columbus, OH","BNA","Nashville, TN",
"CMH","Columbus, OH","ATL","Atlanta, GA",
"CMH","Columbus, OH","FLL","Fort Lauderdale, FL",
"CMH","Columbus, OH","PHX","Phoenix, AZ",
"CMH","Columbus, OH","MDW","Chicago, IL",
"CMH","Columbus, OH","SRQ","Sarasota/Bradenton, FL",
"CMH","Columbus, OH","RSW","Fort Myers, FL",
"CMH","Columbus, OH","MCO","Orlando, FL",
"CMH","Columbus, OH","DTW","Detroit, MI",
"CMH","Columbus, OH","IAH","Houston, TX",
"CMH","Columbus, OH","IAD","Washington, DC",
"CMH","Columbus, OH","CVG","Cincinnati, OH",
"CMH","Columbus, OH","DEN","Denver, CO",
"CMH","Columbus, OH","IAH","Houston, TX",
"CMH","Columbus, OH","DEN","Denver, CO",
"CMH","Columbus, OH","ATL","Atlanta, GA",
"CMH","Columbus, OH","ATL","Atlanta, GA",
"CMH","Columbus, OH","ATL","Atlanta, GA",
"CMH","Columbus, OH","BTV","Burlington, VT",
"CMH","Columbus, OH","CLT","Charlotte, NC",
"CMH","Columbus, OH","PHX","Phoenix, AZ",
"CMH","Columbus, OH","MSP","Minneapolis, MN",
"CMH","Columbus, OH","DTW","Detroit, MI",
"CMH","Columbus, OH","ORD","Chicago, IL",
"CMH","Columbus, OH","EWR","Newark, NJ",
"CMH","Columbus, OH","CLT","Charlotte, NC",
"CMH","Columbus, OH","PHL","Philadelphia, PA",
"CMH","Columbus, OH","IAD","Washington, DC",
"CMH","Columbus, OH","LGA","New York, NY",
"CMH","Columbus, OH","DCA","Washington, DC",
"CMH","Columbus, OH","RSW","Fort Myers, FL",
"CMH","Columbus, OH","CHS","Charleston, SC",
"CMH","Columbus, OH","ORD","Chicago, IL",
"CMH","Columbus, OH","EWR","Newark, NJ",
"CMH","Columbus, OH","IAD","Washington, DC",
"CMH","Columbus, OH","RSW","Fort Myers, FL",
"CMH","Columbus, OH","LAS","Las Vegas, NV",
"CMH","Columbus, OH","FLL","Fort Lauderdale, FL",
"CMH","Columbus, OH","RSW","Fort Myers, FL",
"CMH","Columbus, OH","MCO","Orlando, FL",
"CMH","Columbus, OH","LAS","Las Vegas, NV",
"CMH","Columbus, OH","FLL","Fort Lauderdale, FL",
"CMH","Columbus, OH","RSW","Fort Myers, FL",
"CMH","Columbus, OH","MCO","Orlando, FL",
"CMH","Columbus, OH","DEN","Denver, CO",
"CMH","Columbus, OH","MCO","Orlando, FL",
"CMH","Columbus, OH","DEN","Denver, CO",
"CMH","Columbus, OH","MCO","Orlando, FL",
"CMH","Columbus, OH","DEN","Denver, CO",
"CMH","Columbus, OH","PHL","Philadelphia, PA",
"CMH","Columbus, OH","CLT","Charlotte, NC",
"CMH","Columbus, OH","IFP","Bullhead City, AZ",
"CMH","Columbus, OH","IND","Indianapolis, IN",
"CMH","Columbus, OH","ORD","Chicago, IL",
"CMH","Columbus, OH","CAK","Akron, OH",
"CMH","Columbus, OH","SCE","State College, PA",
"CMH","Columbus, OH","DAL","Dallas, TX",
"CMH","Columbus, OH","RDU","Raleigh/Durham, NC",
"CMH","Columbus, OH","PHL","Philadelphia, PA",
"CMH","Columbus, OH","BNA","Nashville, TN",
"CMH","Columbus, OH","BED","Bedford, MA",
"CMH","Columbus, OH","HPN","White Plains, NY",
"CMH","Columbus, OH","MDW","Chicago, IL",
"CMH","Columbus, OH","GPT","Gulfport/Biloxi, MS",
"CMH","Columbus, OH","MSP","Minneapolis, MN",
"CMH","Columbus, OH","SEA","Seattle, WA",
"CMH","Columbus, OH","SEA","Seattle, WA",
"CMH","Columbus, OH","ORD","Chicago, IL",
"CMH","Columbus, OH","EWR","Newark, NJ",
"CMH","Columbus, OH","PTK","Pontiac, MI",
"CMH","Columbus, OH","MIA","Miami, FL",
"CMI","Champaign/Urbana, IL","DFW","Dallas/Fort Worth, TX",
"CMI","Champaign/Urbana, IL","SCE","State College, PA",
"CMI","Champaign/Urbana, IL","BTV","Burlington, VT",
"CMI","Champaign/Urbana, IL","CLT","Charlotte, NC",
"CMI","Champaign/Urbana, IL","STL","St. Louis, MO",
"CMI","Champaign/Urbana, IL","EWR","Newark, NJ",
"CMI","Champaign/Urbana, IL","GSO","Greensboro/High Point, NC",
"CMI","Champaign/Urbana, IL","BWI","Baltimore, MD",
"CMI","Champaign/Urbana, IL","MSP","Minneapolis, MN",
"CMI","Champaign/Urbana, IL","MSN","Madison, WI",
"CMI","Champaign/Urbana, IL","GTR","Columbus, MS",
"CMI","Champaign/Urbana, IL","ROA","Roanoke, VA",
"CMI","Champaign/Urbana, IL","FOE","Topeka, KS",
"CMI","Champaign/Urbana, IL","LAN","Lansing, MI",
"CMI","Champaign/Urbana, IL","TLH","Tallahassee, FL",
"CMI","Champaign/Urbana, IL","LNK","Lincoln, NE",
"CMI","Champaign/Urbana, IL","DTW","Detroit, MI",
"CMI","Champaign/Urbana, IL","ORD","Chicago, IL",
"CMI","Champaign/Urbana, IL","DFW","Dallas/Fort Worth, TX",
"CMX","Hancock/Houghton, MI","ORD","Chicago, IL",
"CMX","Hancock/Houghton, MI","DEN","Denver, CO",
"CMX","Hancock/Houghton, MI","EAU","Eau Claire, WI",
"CMX","Hancock/Houghton, MI","ORD","Chicago, IL",
"CMX","Hancock/Houghton, MI","RHI","Rhinelander, WI",
"CMX","Hancock/Houghton, MI","MKE","Milwaukee, WI",
"CMX","Hancock/Houghton, MI","ESC","Escanaba, MI",
"CNM","Carlsbad, NM","ELP","El Paso, TX",
"CNM","Carlsbad, NM","ABQ","Albuquerque, NM",
"CNM","Carlsbad, NM","DFW","Dallas/Fort Worth, TX",
"CNO","Chino, CA","SDF","Louisville, KY",
"CNO","Chino, CA","EVV","Evansville, IN",
"CNO","Chino, CA","ELP","El Paso, TX",
"CNY","Moab, UT","DEN","Denver, CO",
"COD","Cody, WY","DEN","Denver, CO",
"COS","Colorado Springs, CO","DFW","Dallas/Fort Worth, TX",
"COS","Colorado Springs, CO","PHX","Phoenix, AZ",
"COS","Colorado Springs, CO","DFW","Dallas/Fort Worth, TX",
"COS","Colorado Springs, CO","ORD","Chicago, IL",
"COS","Colorado Springs, CO","BOI","Boise, ID",
"COS","Colorado Springs, CO","IAH","Houston, TX",
"COS","Colorado Springs, CO","DEN","Denver, CO",
"COS","Colorado Springs, CO","SLC","Salt Lake City, UT",
"COS","Colorado Springs, CO","LAX","Los Angeles, CA",
"COS","Colorado Springs, CO","SFO","San Francisco, CA",
"COS","Colorado Springs, CO","TUS","Tucson, AZ",
"COS","Colorado Springs, CO","ORD","Chicago, IL",
"COS","Colorado Springs, CO","CDC","Cedar City, UT",
"COS","Colorado Springs, CO","IAH","Houston, TX",
"COS","Colorado Springs, CO","PSP","Palm Springs, CA",
"COS","Colorado Springs, CO","DEN","Denver, CO",
"COS","Colorado Springs, CO","SLC","Salt Lake City, UT",
"COS","Colorado Springs, CO","RST","Rochester, MN",
"COS","Colorado Springs, CO","GTF","Great Falls, MT",
"COS","Colorado Springs, CO","MKE","Milwaukee, WI",
"COS","Colorado Springs, CO","OGD","Ogden, UT",
"COS","Colorado Springs, CO","LAX","Los Angeles, CA",
"COS","Colorado Springs, CO","SFO","San Francisco, CA",
"COS","Colorado Springs, CO","ROW","Roswell, NM",
"COS","Colorado Springs, CO","ICT","Wichita, KS",
"COS","Colorado Springs, CO","LIT","Little Rock, AR",
"COS","Colorado Springs, CO","ORD","Chicago, IL",
"COS","Colorado Springs, CO","BMI","Bloomington/Normal, IL",
"COS","Colorado Springs, CO","FWA","Fort Wayne, IN",
"COS","Colorado Springs, CO","FAT","Fresno, CA",
"COS","Colorado Springs, CO","DEN","Denver, CO",
"COS","Colorado Springs, CO","DFW","Dallas/Fort Worth, TX",
"COS","Colorado Springs, CO","PHX","Phoenix, AZ",
"COS","Colorado Springs, CO","OKC","Oklahoma City, OK",
"COS","Colorado Springs, CO","LAS","Las Vegas, NV",
"COS","Colorado Springs, CO","PHX","Phoenix, AZ",
"COS","Colorado Springs, CO","LAS","Las Vegas, NV",
"COS","Colorado Springs, CO","PHX","Phoenix, AZ",
"COS","Colorado Springs, CO","DEN","Denver, CO",
"COS","Colorado Springs, CO","ORD","Chicago, IL",
"COS","Colorado Springs, CO","DEN","Denver, CO",
"COS","Colorado Springs, CO","ORD","Chicago, IL",
"COS","Colorado Springs, CO","DEN","Denver, CO",
"COS","Colorado Springs, CO","DEN","Denver, CO",
"COS","Colorado Springs, CO","VNY","Van Nuys, CA",
"COS","Colorado Springs, CO","IFP","Bullhead City, AZ",
"COS","Colorado Springs, CO","FNL","Fort Collins/Loveland, CO",
"COS","Colorado Springs, CO","BIF","El Paso, TX",
"COS","Colorado Springs, CO","PGA","Page, AZ",
"COS","Colorado Springs, CO","TUS","Tucson, AZ",
"COS","Colorado Springs, CO","GJT","Grand Junction, CO",
"COS","Colorado Springs, CO","MEM","Memphis, TN",
"COU","Columbia, MO","ORD","Chicago, IL",
"COU","Columbia, MO","AUO","Auburn, AL",
"COU","Columbia, MO","DFW","Dallas/Fort Worth, TX",
"COU","Columbia, MO","GNV","Gainesville, FL",
"COU","Columbia, MO","MSP","Minneapolis, MN",
"COU","Columbia, MO","TUP","Tupelo, MS",
"COU","Columbia, MO","LEX","Lexington, KY",
"COU","Columbia, MO","CAE","Columbia, SC",
"COU","Columbia, MO","AZA","Phoenix, AZ",
"COU","Columbia, MO","TCL","Tuscaloosa, AL",
"COU","Columbia, MO","XNA","Fayetteville, AR",
"COU","Columbia, MO","TYS","Knoxville, TN",
"COU","Columbia, MO","IAH","Houston, TX",
"COU","Columbia, MO","CLL","College Station/Bryan, TX",
"COU","Columbia, MO","SGF","Springfield, MO",
"COU","Columbia, MO","DFW","Dallas/Fort Worth, TX",
"CPR","Casper, WY","DEN","Denver, CO",
"CPR","Casper, WY","SLC","Salt Lake City, UT",
"CPR","Casper, WY","SLC","Salt Lake City, UT",
"CPR","Casper, WY","ATY","Watertown, SD",
"CPR","Casper, WY","DEN","Denver, CO",
"CPR","Casper, WY","SLC","Salt Lake City, UT",
"CPR","Casper, WY","MDW","Chicago, IL",
"CPR","Casper, WY","BFF","Scottsbluff, NE",
"CPR","Casper, WY","RKS","Rock Springs, WY",
"CPR","Casper, WY","HDN","Hayden, CO",
"CPR","Casper, WY","BOI","Boise, ID",
"CPR","Casper, WY","BIL","Billings, MT",
"CPR","Casper, WY","MEM","Memphis, TN",
"CPS","St. Louis, MO","MSP","Minneapolis, MN",
"CPS","St. Louis, MO","PDX","Portland, OR",
"CPS","St. Louis, MO","DAY","Dayton, OH",
"CPS","St. Louis, MO","FYV","Fayetteville, AR",
"CPS","St. Louis, MO","MQY","Smyrna, TN",
"CPS","St. Louis, MO","PNE","Philadelphia, PA",
"CPS","St. Louis, MO","RIC","Richmond, VA",
"CPS","St. Louis, MO","TBN","Fort Leonard Wood, MO",
"CPS","St. Louis, MO","CLT","Charlotte, NC",
"CPS","St. Louis, MO","PNE","Philadelphia, PA",
"CPS","St. Louis, MO","SYR","Syracuse, NY",
"CPS","St. Louis, MO","CPS","St. Louis, MO",
"CPS","St. Louis, MO","HPN","White Plains, NY",
"CPS","St. Louis, MO","PHX","Phoenix, AZ",
"CPX","Culebra, PR","SIG","San Juan, PR",
"CPX","Culebra, PR","JRV","Ceiba, PR",
"CPX","Culebra, PR","JRV","Ceiba, PR",
"CPX","Culebra, PR","SJU","San Juan, PR",
"CPX","Culebra, PR","SIG","San Juan, PR",
"CPX","Culebra, PR","VQS","Vieques, PR",
"CPX","Culebra, PR","JRV","Ceiba, PR",
"CPX","Culebra, PR","SJU","San Juan, PR",
"CPX","Culebra, PR","SJU","San Juan, PR",
"CRP","Corpus Christi, TX","HHR","Hawthorne, CA",
"CRP","Corpus Christi, TX","DFW","Dallas/Fort Worth, TX",
"CRP","Corpus Christi, TX","DFW","Dallas/Fort Worth, TX",
"CRP","Corpus Christi, TX","HOU","Houston, TX",
"CRP","Corpus Christi, TX","IAH","Houston, TX",
"CRP","Corpus Christi, TX","BRO","Brownsville, TX",
"CRP","Corpus Christi, TX","VCT","Victoria, TX",
"CRP","Corpus Christi, TX","DEN","Denver, CO",
"CRP","Corpus Christi, TX","ICT","Wichita, KS",
"CRP","Corpus Christi, TX","GPT","Gulfport/Biloxi, MS",
"CRP","Corpus Christi, TX","HOU","Houston, TX",
"CRP","Corpus Christi, TX","IFP","Bullhead City, AZ",
"CRP","Corpus Christi, TX","IAH","Houston, TX",
"CRP","Corpus Christi, TX","HRL","Harlingen/San Benito, TX",
"CRP","Corpus Christi, TX","DFW","Dallas/Fort Worth, TX",
"CRP","Corpus Christi, TX","GGG","Longview, TX",
"CRW","Charleston/Dunbar, WV","ORD","Chicago, IL",
"CRW","Charleston/Dunbar, WV","CLT","Charlotte, NC",
"CRW","Charleston/Dunbar, WV","CLT","Charlotte, NC",
"CRW","Charleston/Dunbar, WV","DCA","Washington, DC",
"CRW","Charleston/Dunbar, WV","MCO","Orlando, FL",
"CRW","Charleston/Dunbar, WV","ATL","Atlanta, GA",
"CRW","Charleston/Dunbar, WV","ATL","Atlanta, GA",
"CSG","Columbus, GA","ATL","Atlanta, GA",
"CSG","Columbus, GA","MEM","Memphis, TN",
"CSG","Columbus, GA","AEX","Alexandria, LA",
"CSG","Columbus, GA","ATL","Atlanta, GA",
"CSG","Columbus, GA","TYS","Knoxville, TN",
"CSG","Columbus, GA","MIA","Miami, FL",
"CSG","Columbus, GA","MDT","Harrisburg, PA",
"CSG","Columbus, GA","GNV","Gainesville, FL",
"CVG","Cincinnati, OH","IAH","Houston, TX",
"CVG","Cincinnati, OH","EWR","Newark, NJ",
"CVG","Cincinnati, OH","GSO","Greensboro/High Point, NC",
"CVG","Cincinnati, OH","SEA","Seattle, WA",
"CVG","Cincinnati, OH","LAX","Los Angeles, CA",
"CVG","Cincinnati, OH","BOS","Boston, MA",
"CVG","Cincinnati, OH","PHX","Phoenix, AZ",
"CVG","Cincinnati, OH","SFO","San Francisco, CA",
"CVG","Cincinnati, OH","AUS","Austin, TX",
"CVG","Cincinnati, OH","JFK","New York, NY",
"CVG","Cincinnati, OH","MIA","Miami, FL",
"CVG","Cincinnati, OH","LAX","Los Angeles, CA",
"CVG","Cincinnati, OH","ORD","Chicago, IL",
"CVG","Cincinnati, OH","ANC","Anchorage, AK",
"CVG","Cincinnati, OH","LAX","Los Angeles, CA",
"CVG","Cincinnati, OH","ANC","Anchorage, AK",
"CVG","Cincinnati, OH","IAD","Washington, DC",
"CVG","Cincinnati, OH","ORD","Chicago, IL",
"CVG","Cincinnati, OH","AFW","Dallas/Fort Worth, TX",
